,algo-format-size-repetation,compression_ratio,compression_time,saving_size,total_power,cpu_utilization,energy_efficiency
2853,lzw-jpg-large-high-22,1.226799999882881,65.0,9077.279296875,227.0102,0.254465303030303,157.13819255498797
2854,lzw-jpg-large-high-23,1.2272978277106923,62.0,8999.2568359375,218.03873,0.2591812698412699,159.24631430364514
2855,lzw-jpg-large-high-24,1.2166209956760738,60.0,7970.900390625,210.07023,0.2553972131147541,148.568492636815
2856,lzw-jpg-large-high-25,1.2322049437454616,66.0,9564.0966796875,229.58669,0.2516244776119403,165.55578639523895
2857,lzw-jpg-large-high-26,1.2286191879395356,63.0,9078.54296875,218.44919,0.24866984375,167.12545138949378
2858,lzw-jpg-large-high-27,1.2155717726716226,58.0,7850.5732421875,201.42818,0.2488393220338982,156.62537780643964
2859,lzw-jpg-large-high-28,1.2302546325831587,65.0,9322.6435546875,222.69454,0.251492923076923,166.45764333789822
2860,lzw-jpg-large-high-29,1.2337058002977292,67.0,9664.2177734375,233.08373999999995,0.2518527941176471,164.62961264329854
2861,lzw-jpg-large-high-30,1.219332169297612,60.0,8280.1025390625,209.49806,0.2533286885245902,156.01678870777462
2862,lzw-jpg-large-high-31,1.2234612467554966,61.0,8666.39453125,211.91034999999997,0.2496929032258064,163.78724893004923
